Danceability,Energy,Speechiness,Liveness,Tempo,Duration,Stream
0.504,0.904,0.179,0.14,176.808,183440,649281620
0.658,0.783,0.113,0.187,126.027,202246,190102352
0.601,0.532,0.0286,0.0925,136.571,281613,828968108
0.554,0.315,0.0298,0.101,128.157,241787,654292280
0.729,0.844,0.0344,0.0604,131.459,275440,562468940
0.414,0.428,0.0278,0.148,145.075,377093,606925181
0.526,0.925,0.0363,0.305,140.308,272394,236457156
0.559,0.473,0.0279,0.154,121.227,192827,242563343
0.594,0.935,0.0357,0.102,113.99,208547,133344222
0.789,0.858,0.311,0.349,140.022,219333,1054470731
0.491,0.956,0.392,0.46,173.585,276920,678424384
0.687,0.793,0.166,0.582,107.045,205733,778880225
0.632,0.924,0.29,0.263,86.844,267520,296375103
0.654,0.75,0.105,0.167,92.78,272507,293182456
0.261,0.852,0.158,0.477,177.997,284493,73726722
0.759,0.678,0.314,0.15,89.64,205560,115228530
0.754,0.631,0.307,0.5,94.577,178213,170592836
0.74,0.574,0.245,0.262,149.762,140747,128273029
0.73,0.576,0.287,0.15,92.131,228461,114490460
0.715,0.62,0.0484,0.0822,97.95,221520,279832635
0.561,0.52,0.244,0.355,153.15,239360,311694937
0.529,0.673,0.175,0.093,165.921,218365,413205085
0.671,0.658,0.309,0.147,87.933,207307,81603704
0.749,0.63,0.116,0.353,122.03,242027,119787835
0.847,0.733,0.16,0.151,130.029,193591,182739405
0.841,0.358,0.591,0.39,158.014,261544,100595022
0.908,0.546,0.323,0.0707,131.016,170502,107919519
0.773,0.701,0.0512,0.163,129.963,214589,87618118
0.849,0.424,0.324,0.0834,145.887,242966,501420741
0.367,0.665,0.0465,0.113,148.913,229147,578115634
0.79,0.647,0.136,0.248,87.999,211000,720756420
0.639,0.628,0.0399,0.386,90.482,237507,543286408
0.789,0.858,0.311,0.349,140.022,219333,1054470731
0.724,0.573,0.0549,0.538,113.088,135920,627167330
0.617,0.717,0.153,0.408,103.992,311867,1123296395
0.542,0.466,0.0831,0.125,191.385,243440,302891517
0.669,0.419,0.522,0.187,109.813,215320,335460654
0.667,0.747,0.189,0.115,86.917,203493,379099876
0.629,0.696,0.348,0.0554,93.034,207627,853381478
0.78,0.877,0.0427,0.0627,133.263,191973,473691093
0.374,0.727,0.0309,0.134,155.127,257027,392257514
0.641,0.593,0.0264,0.169,119.828,281000,303652374
0.631,0.683,0.0344,0.0994,97.959,161040,229810217
0.54,0.367,0.0277,0.0433,70.276,237240,268107480
0.401,0.499,0.0272,0.149,144.276,184080,235730264
0.542,0.665,0.0297,0.177,147.977,272827,189533009
0.389,0.443,0.0304,0.114,76.54,229853,172275945
0.389,0.71,0.0351,0.918,160.397,179040,106123325
0.663,0.579,0.0269,0.189,89.929,185040,127896578
0.78,0.689,0.141,0.0698,115.042,225389,354986175
0.646,0.77,0.226,0.0715,99.165,236133,836260550
0.545,0.641,0.0998,0.171,121.892,215460,116409094
0.693,0.887,0.0795,0.27,114.942,278282,276384322
0.508,0.72,0.0628,0.0563,79.983,261640,1257746758
0.652,0.749,0.0886,0.604,94.103,267413,524847088
0.903,0.519,0.26,0.155,114.991,116727,71933137
0.587,0.299,0.0263,0.123,94.992,259550,739180747
0.583,0.621,0.0479,0.181,140.036,323480,520085958
0.732,0.899,0.143,0.372,127.091,236093,480726300
0.872,0.681,0.11,0.129,96.986,188009,42618413
0.744,0.868,0.047,0.0822,93.037,206420,664205050
0.852,0.797,0.0614,0.0845,96.008,192600,536817412
0.812,0.855,0.0554,0.108,90.04,192477,295869713
0.819,0.741,0.0412,0.283,97.014,210933,315104207
0.655,0.797,0.153,0.067,177.928,229360,1506598267
0.737,0.86,0.0593,0.0574,93.989,193227,1170562263
0.77,0.804,0.0623,0.193,94.017,205520,203988701
0.703,0.909,0.0358,0.162,97.982,239920,197998077
0.76,0.9,0.0668,0.221,100.046,209493,201700378
0.733,0.685,0.0533,0.333,150.073,146947,49105411
0.652,0.631,0.0893,0.165,127.998,154424,682479132
0.629,0.692,0.0376,0.603,162.948,167916,560791223
0.8,0.658,0.079,0.111,140.042,195429,1142825569
0.662,0.515,0.199,0.163,69.808,174474,15859788
0.747,0.497,0.0401,0.138,142.046,158709,171091255
0.81,0.655,0.0698,0.105,150.002,193322,92010224
0.747,0.494,0.141,0.0982,76.006,228453,141369736
0.56,0.707,0.07,0.108,147,198058,77395440
0.594,0.679,0.345,0.114,106.726,152613,50148408
0.724,0.443,0.0329,0.101,97.194,177791,266678074
0.871,0.815,0.0477,0.094,122.959,176575,192312139
0.719,0.753,0.179,0.212,174.107,204564,665804353
0.69,0.58,0.199,0.328,197.635,177627,31400753
0.754,0.778,0.0335,0.131,128.925,214507,205577936
0.578,0.634,0.333,0.132,183.89,211652,290126900
0.483,0.492,0.295,0.323,144.511,188213,268237254
0.589,0.642,0.279,0.119,78.791,179067,13702635
0.591,0.785,0.161,0.126,106.002,217547,89466323
0.721,0.637,0.286,0.0525,193.922,222680,530878132
0.658,0.783,0.113,0.187,126.027,202246,190102352
